"","mcode","stat.week","swim.dir","time.in","sex","length","time.out","species","age","lat","long","mesh.size","air.temp","water.temp","wind.sp","wind.dir","cloud.cov","capture.loc","deploy.ymd.hms","deploy.unix","det.hist","recap","final.fate","ff.ymd.hms","ff.unix","at.large.unix","at.large.dhm","spawn.group","spawn.stream","julian.day","year","secchi"
"1","75","32","S","9:28","F",558,"9:33","coho","1.1",63.91225,-160.81984,"5-5/8 in",58,58,2,"S",87,"6b","8/4/2020 9:33",1596533580,"5,5,U",NA,"1a","8/6/2020 16:46",1596761217,227637,"2d 15H 13M 57S","6","U",217,"2020",0.35
"2","195","32","N","14:33","M",524,"14:38","coho","2.1",64.01717,-160.91177,"5-5/8 in",NA,NA,7,"NW",75,"6a","8/5/2020 14:38",1596638280,"5,U",NA,"1a","8/7/2020 7:44",1596815075,176795,"2d 1H 6M 35S","6","U",218,"2020",0.6
"3","215","32","N","14:43","M",543,"14:47","coho","2.1",64.01717,-160.91177,"5-5/8 in",NA,NA,7,"NW",75,"6a","8/5/2020 14:47",1596638820,"5,U",NA,"1a","8/8/2020 10:17",1596910634,271814,"3d 3H 30M 14S","6","U",218,"2020",0.6
"4","275","32","N","15:15","M",515,"15:28","coho","2.1",64.01717,-160.91177,"5-5/8 in",NA,NA,7,"NW",75,"6a","8/5/2020 15:28",1596641280,"5,U",NA,"1a","8/6/2020 15:01",1596754873,113593,"1d 7H 33M 13S","6","U",218,"2020",0.6
"5","375","32","N","16:02","M",575,"16:09","coho","2.1",64.01717,-160.91177,"5-5/8 in",NA,NA,7,"NW",75,"6a","8/5/2020 16:09",1596643740,"5,U",NA,"1a","8/8/2020 8:16",1596903369,259629,"3d 0H 7M 9S","6","U",218,"2020",0.6
"6","395","32","S","16:03","M",498,"16:12","coho","1.1",64.01717,-160.91177,"5-5/8 in",NA,NA,7,"NW",75,"6a","8/5/2020 16:12",1596643920,"5,U",NA,"1a","8/6/2020 15:35",1596756940,113020,"1d 7H 23M 40S","6","U",218,"2020",0.6
"7","415","32","S","16:15","M",528,"16:31","coho","2.1",64.01717,-160.91177,"5-5/8 in",NA,NA,7,"NW",75,"6a","8/5/2020 16:31",1596645060,"5,U",NA,"1a","8/7/2020 22:21",1596867686,222626,"2d 13H 50M 26S","6","U",218,"2020",0.6
"8","435","32","N","16:17","M",499,"16:27","coho","2.1",64.01717,-160.91177,"5-5/8 in",NA,NA,7,"NW",75,"6a","8/5/2020 16:27",1596644820,"4,S",NA,"1a","8/12/2020 19:08",1597288114,643294,"7d 10H 41M 34S","5","S",218,"2020",0.6
"9","475","32","S","12:00","F",519,"12:03","coho","1.1",64.03183,-160.92131,"5-5/8 in",56,57,7,"E",95,"6a","8/6/2020 12:03",1596715380,"4,5,U",NA,"1a","8/10/2020 17:25",1597109157,393777,"4d 13H 22M 57S","6","U",219,"2020",2.15
"10","515","32","S","12:52","F",584,"12:57","coho","2.1",64.01718,-160.91241,"5-5/8 in",59,57,5,"NW",60,"6a","8/6/2020 12:57",1596718620,"4,4,5,U",NA,"1a","8/13/2020 17:11",1597367462,648842,"7d 12H 14M 2S","6","U",219,"2020",2.15
"11","535","32","N","13:09","M",515,"13:14","coho","1.1",64.01718,-160.91241,"5-5/8 in",59,57,5,"NW",60,"6a","8/6/2020 13:14",1596719640,"E",NA,"4",NA,NA,NA,NA,"6",NA,219,"2020",2.15
"12","555","32","N","13:23","F",561,"13:29","coho","2.1",64.01718,-160.91241,"5-5/8 in",59,57,5,"NW",60,"6a","8/6/2020 13:29",1596720540,"5,U",NA,"1a","8/8/2020 9:42",1596908548,188008,"2d 4H 13M 28S","6","U",219,"2020",2.15
"13","575","32","N","13:34","M",515,"13:38","coho","1.1",64.01718,-160.91241,"5-5/8 in",59,57,5,"NW",60,"6a","8/6/2020 13:38",1596721080,"5,U",NA,"1a","8/9/2020 6:40",1596984011,262931,"3d 1H 2M 11S","6","U",219,"2020",2.15
"14","615","32","N","13:34","M",519,"13:44","coho","2.1",64.01718,-160.91241,"5-5/8 in",59,57,5,"NW",60,"6a","8/6/2020 13:44",1596721440,"4,4,5,U",NA,"1a","8/8/2020 18:39",1596940770,219330,"2d 12H 55M 30S","6","U",219,"2020",2.15
"15","675","32","N","13:55","M",543,"13:58","coho","3.1",64.01718,-160.91241,"5-5/8 in",59,57,5,"NW",60,"6a","8/6/2020 13:58",1596722280,"5,U",NA,"1a","8/7/2020 9:24",1596821077,98797,"1d 3H 26M 37S","6","U",219,"2020",2.15
"16","715","32","N","14:26","M",489,"14:30","coho","2.1",64.01718,-160.91241,"5-5/8 in",59,57,5,"NW",60,"6a","8/6/2020 14:30",1596724200,"5,U","U","1b","8/7/2020 22:24",1596867869,143669,"1d 15H 54M 29S","6","U",219,"2020",2.15
"17","735","32","N","14:41","M",543,"14:45","coho","2.1",64.01718,-160.91241,"5-5/8 in",59,57,5,"NW",60,"6a","8/6/2020 14:45",1596725100,"5,U","U","1b","8/7/2020 6:10",1596809418,84318,"23H 25M 18S","6","U",219,"2020",2.15
"18","815","32","S","14:25","F",543,"14:30","coho","3",63.95282,-160.85172,"5-5/8 in",65,59,15,"NW",60,"6b","8/3/2020 14:30",1596465000,"5,5,U",NA,"1a","8/7/2020 2:00",1596794449,329449,"3d 19H 30M 49S","6","U",216,"2020",2.15
"19","835","32","S","14:48","M",585,"14:51","coho","3",63.95282,-160.85172,"5-5/8 in",65,59,15,"NW",60,"6b","8/3/2020 14:51",1596466260,"5,U",NA,"1a","8/6/2020 15:54",1596758075,291815,"3d 9H 3M 35S","6","U",216,"2020",2.15
"20","895","32","S","10:11","F",533,"10:26","coho","1.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 10:26",1596795960,"5,5,5,4,S",NA,"1a","8/15/2020 5:43",1597499017,703057,"8d 3H 17M 37S","5","S",220,"2020",0.65
"21","935","32","N","10:15","M",405,"10:28","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 10:28",1596796080,"5,U","U","1b","8/8/2020 13:31",1596922288,126208,"1d 11H 3M 28S","6","U",220,"2020",0.65
"22","955","32","N","10:17","F",505,"10:31","coho","1.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 10:31",1596796260,"E",NA,"4",NA,NA,NA,NA,"6",NA,220,"2020",0.65
"23","995","32","N","11:02","M",501,"11:05","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 11:05",1596798300,"5,U",NA,"1a","8/7/2020 23:38",1596872330,74030,"20H 33M 50S","6","U",220,"2020",0.65
"24","1015","32","S","11:09","M",568,"11:12","coho","3.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 11:12",1596798720,"5,U",NA,"1a","8/8/2020 18:35",1596940552,141832,"1d 15H 23M 52S","6","U",220,"2020",0.65
"25","1035","32","N","11:10","M",612,"11:17","coho","1.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 11:17",1596799020,"E,E,5,U",NA,"1a","8/17/2020 17:10",1597713012,913992,"10d 13H 53M 12S","6","U",220,"2020",0.65
"26","1055","32","N","11:33","F",554,"11:38","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 11:38",1596800280,"4,4,U",NA,"1a","8/9/2020 9:18",1596993529,193249,"2d 5H 40M 49S","6","U",220,"2020",0.65
"27","1075","32","N","11:45","F",509,"11:52","coho","3",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 11:52",1596801120,"5","U","1b","8/8/2020 12:00",1596888000,86880,"1d 0H 8M 0S","6","U",220,"2020",0.65
"28","1095","32","N","12:04","M",557,"12:09","coho","1.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 12:09",1596802140,"5,U",NA,"1a","8/8/2020 9:24",1596907473,105333,"1d 5H 15M 33S","6","U",220,"2020",0.65
"29","1135","32","N","12:33","M",549,"12:41","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 12:41",1596804060,"5,U",NA,"1a","8/8/2020 22:07",1596953230,149170,"1d 17H 26M 10S","6","U",220,"2020",0.65
"30","1155","32","S","12:43","M",506,"12:52","coho","1.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 12:52",1596804720,"4,5,U",NA,"1a","8/9/2020 23:26",1597044402,239682,"2d 18H 34M 42S","6","U",220,"2020",0.65
"31","1175","32","N","12:44","M",481,"12:52","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 12:52",1596804720,"E,E,4,S",NA,"1a","8/15/2020 18:25",1597544739,740019,"8d 13H 33M 39S","5","S",220,"2020",0.65
"32","1195","32","N","12:45","M",536,"12:53","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 12:53",1596804780,"4,5,U",NA,"1a","8/14/2020 16:17",1597450632,645852,"7d 11H 24M 12S","6","U",220,"2020",0.65
"33","1215","32","N","13:22","F",570,"13:27","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 13:27",1596806820,"E",NA,"4",NA,NA,NA,NA,"6",NA,220,"2020",0.65
"34","1235","32","N","13:57","M",580,"14:01","coho","4",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 14:01",1596808860,"5,U",NA,"1a","8/8/2020 20:33",1596947594,138734,"1d 14H 32M 14S","6","U",220,"2020",0.65
"35","1255","32","N","14:37","F",541,"14:41","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 14:41",1596811260,"4,4,U",NA,"1a","8/11/2020 21:07",1597208853,397593,"4d 14H 26M 33S","6","U",220,"2020",0.65
"36","1275","32","S","14:57","M",499,"15:07","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 15:07",1596812820,"5,6,7,U","U","1b","8/15/2020 10:51",1597517489,704669,"8d 3H 44M 29S","6","U",220,"2020",0.65
"37","1315","32","S","14:58","M",542,"15:14","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 15:14",1596813240,"5,4,4,5,U",NA,"1a","8/10/2020 22:49",1597128589,315349,"3d 15H 35M 49S","6","U",220,"2020",0.65
"38","1335","32","S","14:59","M",544,"15:18","coho","3.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 15:18",1596813480,"S",NA,"1a","8/16/2020 6:51",1597589461,775981,"8d 23H 33M 1S","5","S",220,"2020",0.65
"39","1375","32","S","15:24","M",543,"15:29","coho","2.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 15:29",1596814140,"4,3,2,2,3,3,K",NA,"1a","8/20/2020 11:41",1597952490,1138350,"13d 4H 12M 30S","4","K",220,"2020",0.65
"40","1435","32","N","16:00","M",517,"16:08","coho","1.1",64.0169,-160.91451,"5-5/8 in",60,58,7,"S",85,"6a","8/7/2020 16:08",1596816480,"5,6,7","7","2b","8/13/2020 11:00",1597316400,499920,"5d 18H 52M 0S","S",NA,220,"2020",0.65
"41","1455","33","S","11:44","F",526,"11:51","coho","2.1",64.01728,-160.91138,"5-5/8 in",59,56,5,"SE",30,"6a","8/10/2020 11:51",1597060260,"5,U",NA,"1a","8/13/2020 13:11",1597353070,292810,"3d 9H 20M 10S","6","U",223,"2020",0.85
"42","1495","33","N","12:06","F",455,"12:10","coho","2.1",64.01728,-160.91138,"5-5/8 in",59,56,5,"SE",30,"6a","8/10/2020 12:10",1597061400,"5,U",NA,"1a","8/12/2020 22:47",1597301244,239844,"2d 18H 37M 24S","6","U",223,"2020",0.85
"43","1515","33","S","13:03","F",483,"13:08","coho","2.1",64.01728,-160.91138,"5-5/8 in",59,56,5,"SE",30,"6a","8/10/2020 13:08",1597064880,"5,U",NA,"1a","8/11/2020 11:06",1597172780,107900,"1d 5H 58M 20S","6","U",223,"2020",0.85
"44","1535","33","N","13:17","F",533,"13:22","coho","3.1",64.02448,-160.91692,"5-5/8 in",NA,NA,7,"SE",50,"6a","8/10/2020 13:22",1597065720,"5,U",NA,"1a","8/11/2020 15:06",1597187163,121443,"1d 9H 44M 3S","6","U",223,"2020",1.2
"45","1575","33","N","13:38","M",544,"13:43","coho","2.1",64.02448,-160.91692,"5-5/8 in",NA,NA,7,"SE",50,"6a","8/10/2020 13:43",1597066980,"E",NA,"4",NA,NA,NA,NA,"6",NA,223,"2020",1.2
"46","1615","33","N","14:01","M",542,"14:07","coho","1.1",64.02448,-160.91692,"5-5/8 in",NA,NA,7,"SE",50,"6a","8/10/2020 14:07",1597068420,"5,U",NA,"1a","8/11/2020 19:56",1597204607,136187,"1d 13H 49M 47S","6","U",223,"2020",1.2
"47","1655","33","S","14:02","M",528,"14:10","coho","4",64.02448,-160.91692,"5-5/8 in",NA,NA,7,"SE",50,"6a","8/10/2020 14:10",1597068600,"4,3","6b","3b","8/16/2020 12:40",1597581600,513000,"5d 22H 30M 0S","N",NA,223,"2020",1.2
"48","1675","33","S","13:22","M",565,"13:28","coho","3.1",64.01708,-160.91208,"5-5/8 in",60,57,4,"S",15,"6a","8/11/2020 13:28",1597152480,"4,S",NA,"1a","8/15/2020 6:45",1597502707,350227,"4d 1H 17M 7S","5","S",224,"2020",1.2
"49","1695","33","N","14:24","M",525,"14:28","coho","2.1",64.0753,-160.9474,"5-5/8 in",62,58,8,"W",8,"6a","8/11/2020 14:28",1597156080,"4,S,S,4,5,U",NA,"1a","8/19/2020 13:24",1597872297,716217,"8d 6H 56M 57S","6","U",224,"2020",1.3
"50","1735","33","N","10:26","F",555,"10:32","coho","1.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 10:32",1597228320,"5,5,U",NA,"1a","8/14/2020 18:57",1597460232,231912,"2d 16H 25M 12S","6","U",225,"2020",0.55
"51","1755","33","S","10:40","F",485,"10:53","coho","3.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 10:53",1597229580,"5,U",NA,"1a","8/15/2020 6:46",1597502806,273226,"3d 3H 53M 46S","6","U",225,"2020",0.55
"52","1775","33","N","10:43","M",508,"10:53","coho","1.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 10:53",1597229580,"5,U",NA,"1a","8/18/2020 10:19",1597774795,545215,"6d 7H 26M 55S","6","U",225,"2020",0.55
"53","1795","33","N","10:45","M",486,"10:53","coho","2.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 10:53",1597229580,"5,U","U","1b","8/13/2020 11:20",1597346437,116857,"1d 8H 27M 37S","6","U",225,"2020",0.55
"54","1815","33","S","10:48","F",554,"10:54","coho","3.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 10:54",1597229640,"5,E",NA,"4",NA,NA,NA,NA,"6",NA,225,"2020",0.55
"55","1835","33","N","10:50","M",478,"10:57","coho","3",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 10:57",1597229820,"5,6,7",NA,"2a","8/14/2020 3:36",1597404996,175176,"2d 0H 39M 36S","S",NA,225,"2020",0.55
"56","1855","33","N","10:51","M",536,"10:59","coho","2.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 10:59",1597229940,"5,U","U","1b","8/13/2020 2:13",1597313618,83678,"23H 14M 38S","6","U",225,"2020",0.55
"57","1875","33","N","11:02","M",530,"11:13","coho","2.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 11:13",1597230780,"5,U",NA,"1a","8/13/2020 21:47",1597384065,153285,"1d 18H 34M 45S","6","U",225,"2020",0.55
"58","1915","33","N","11:07","M",524,"11:13","coho","4",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 11:13",1597230780,"5,5,E",NA,"4",NA,NA,NA,NA,"6",NA,225,"2020",0.55
"59","1955","33","S","11:17","F",526,"11:30","coho","1.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 11:30",1597231800,"5,5,E",NA,"4",NA,NA,NA,NA,"6",NA,225,"2020",0.55
"60","1975","33","S","11:23","M",518,"11:30","coho","2.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 11:30",1597231800,"5,5,U",NA,"1a","8/15/2020 7:27",1597505237,273437,"3d 3H 57M 17S","6","U",225,"2020",0.55
"61","1995","33","N","11:25","M",553,"11:33","coho","4",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 11:33",1597231980,"5,U",NA,"1a","8/13/2020 8:21",1597335665,103685,"1d 4H 48M 5S","6","U",225,"2020",0.55
"62","2015","33","S","11:27","M",519,"11:36","coho","1.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 11:36",1597232160,"5,U","U","1b","8/13/2020 11:52",1597348371,116211,"1d 8H 16M 51S","6","U",225,"2020",0.55
"63","2055","33","S","11:45","M",543,"11:52","coho","2.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 11:52",1597233120,"5,6,7",NA,"2a","8/14/2020 12:47",1597438073,204953,"2d 8H 55M 53S","S",NA,225,"2020",0.55
"64","2115","33","N","11:48","M",502,"12:02","coho","2.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 12:02",1597233720,"5,U",NA,"1a","8/13/2020 0:37",1597307850,74130,"20H 35M 30S","6","U",225,"2020",0.55
"65","2135","33","N","11:50","F",491,"12:02","coho","2.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 12:02",1597233720,"5,5,U",NA,"1a","8/14/2020 10:27",1597429652,195932,"2d 6H 25M 32S","6","U",225,"2020",0.55
"66","2155","33","N","11:50","M",561,"12:03","coho","3.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 12:03",1597233780,"5,U","U","1b","8/13/2020 7:46",1597333578,99798,"1d 3H 43M 18S","6","U",225,"2020",0.55
"67","2175","33","N","11:56","M",499,"12:05","coho","2.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 12:05",1597233900,"5,6,7,7,G",NA,"1a","8/15/2020 6:38",1597502286,268386,"3d 2H 33M 6S","6","G",225,"2020",0.55
"68","2195","33","S","11:58","F",575,"12:07","coho","3.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 12:07",1597234020,"5,4,1",NA,"2a","8/17/2020 9:44",1597686291,452271,"5d 5H 37M 51S","N",NA,225,"2020",0.55
"69","2215","33","N","11:58","M",555,"12:10","coho","3.1",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 12:10",1597234200,"5,E",NA,"4",NA,NA,NA,NA,"6",NA,225,"2020",0.55
"70","2235","33","S","11:59","F",503,"12:13","coho","3",63.95433,-160.85193,"combined",NA,57,3,"SW",20,"6a","8/12/2020 12:13",1597234380,"5,U",NA,"1a","8/13/2020 18:13",1597371199,136819,"1d 14H 0M 19S","6","U",225,"2020",0.55
"71","2295","33","N","12:19","M",513,"12:52","coho","2.1",63.95433,-160.85193,"combined",NA,57,4,"N",15,"6a","8/12/2020 12:52",1597236720,"5,5,4,S","5","3b","8/22/2020 0:19",1598084380,847660,"9d 19H 27M 40S","5",NA,225,"2020",0.55
"72","2315","33","S","12:19","F",518,"12:28","coho","2.1",63.95433,-160.85193,"combined",NA,57,4,"N",15,"6a","8/12/2020 12:28",1597235280,"5","U","1b","8/14/2020 12:00",1597406400,171120,"1d 23H 32M 0S","6","U",225,"2020",0.55
"73","2335","33","N","12:19","F",509,"12:30","coho","2.1",63.95433,-160.85193,"combined",NA,57,4,"N",15,"6a","8/12/2020 12:30",1597235400,"5,5,5,5,5,E",NA,"4",NA,NA,NA,NA,"6",NA,225,"2020",0.55
"74","2355","33","N","12:35","F",568,"12:42","coho","2.1",63.95433,-160.85193,"combined",NA,57,4,"N",15,"6a","8/12/2020 12:42",1597236120,"5,4,5,U","U","1b","8/18/2020 12:17",1597781841,545721,"6d 7H 35M 21S","6","U",225,"2020",0.55
"75","2375","33","S","12:44","F",532,"12:48","coho","1.1",63.95433,-160.85193,"combined",NA,57,4,"N",15,"6a","8/12/2020 12:48",1597236480,"5,U",NA,"1a","8/13/2020 15:44",1597362294,125814,"1d 10H 56M 54S","6","U",225,"2020",0.55
"76","2395","33","N","12:46","M",495,"12:50","coho","2.1",63.95433,-160.85193,"combined",NA,57,4,"N",15,"6a","8/12/2020 12:50",1597236600,"5,U",NA,"1a","8/14/2020 3:55",1597406146,169546,"1d 23H 5M 46S","6","U",225,"2020",0.55
"77","2415","34","S","13:37","M",510,"13:43","coho","1.1",63.95427,-160.8533,"combined",72,58,15,"SE",0,"6a","8/17/2020 13:43",1597671780,"5,4,S",NA,"1a","8/30/2020 6:58",1598799496,1127716,"13d 1H 15M 16S","5","S",230,"2020",1.15
"78","2455","34","N","13:57","M",567,"14:06","coho","2.1",63.95427,-160.8533,"combined",72,58,15,"SE",0,"6a","8/17/2020 14:06",1597673160,"5,6,7",NA,"2a","8/19/2020 2:33",1597833238,160078,"1d 20H 27M 58S","S",NA,230,"2020",1.15
"79","2475","34","N","13:59","M",564,"14:06","coho","2.1",63.95427,-160.8533,"combined",72,58,15,"SE",0,"6a","8/17/2020 14:06",1597673160,"5,5","E","4","8/18/2020 12:00",1597752000,78840,"21H 54M 0S","6",NA,230,"2020",1.15
"80","2495","34","N","13:59","F",528,"14:09","coho","3",63.95427,-160.8533,"combined",72,58,15,"SE",0,"6a","8/17/2020 14:09",1597673340,"5,U",NA,"1a","8/19/2020 7:05",1597849520,176180,"2d 0H 56M 20S","6","U",230,"2020",1.15
"81","2515","34","S","14:02","F",527,"14:11","coho","2.1",63.95427,-160.8533,"combined",72,58,15,"SE",0,"6a","8/17/2020 14:11",1597673460,"5,U",NA,"1a","8/18/2020 20:50",1597812607,139147,"1d 14H 39M 7S","6","U",230,"2020",1.15
"82","2535","34","N","14:02","M",594,"14:13","coho","2.1",63.95427,-160.8533,"combined",72,58,15,"SE",0,"6a","8/17/2020 14:13",1597673580,"5,6,7",NA,"2a","8/19/2020 8:03",1597852989,179409,"2d 1H 50M 9S","S",NA,230,"2020",1.15
"83","2555","34","N","14:03","F",530,"14:15","coho","1.1",63.95427,-160.8533,"combined",72,58,15,"SE",0,"6a","8/17/2020 14:15",1597673700,"5,U",NA,"1a","8/19/2020 16:33",1597883593,209893,"2d 10H 18M 13S","6","U",230,"2020",1.15
"84","2575","34","N","14:18","F",548,"14:25","coho","3.1",63.95427,-160.8533,"combined",72,58,15,"SE",0,"6a","8/17/2020 14:25",1597674300,"5,U",NA,"1a","8/18/2020 9:14",1597770871,96571,"1d 2H 49M 31S","6","U",230,"2020",1.15
